Japan,  Population size (5-year)     Last modified: 15-Dec-2010, MPv5 (May07)

Year       Age      Female         Male        Total
1966     110+            1.00         0.00         1.00
1967       0        658079.21    703731.82   1361811.03
1967       1-4     3213817.03   3351461.73   6565278.76
1967       5-9     3801111.43   3946565.49   7747676.92
1967      10-14    4205105.91   4345291.71   8550397.62
1967      15-19    5565403.12   5660937.47  11226340.59
1967      20-24    4366564.30   4317849.87   8684414.17
1967      25-29    4281301.29   4224224.29   8505525.58
1967      30-34    4161828.11   4184676.39   8346504.50
1967      35-39    3813813.96   3842430.19   7656244.15
1967      40-44    3367791.79   3003023.21   6370815.00
1967      45-49    2767382.87   2215988.99   4983371.86
1967      50-54    2515435.05   2162706.24   4678141.29
1967      55-59    2187952.16   1977298.46   4165250.62
1967      60-64    1722403.39   1613280.90   3335684.29
1967      65-69    1414476.12   1277353.09   2691829.21
1967      70-74    1008235.54    831699.27   1839934.81
1967      75-79     663340.82    469503.64   1132844.46
1967      80-84     350682.71    195878.23    546560.94
1967      85-89     139684.24     61125.41    200809.65
1967      90-94      32184.96     11400.49     43585.45
1967      95-99       3277.09       989.51      4266.60
1967     100-104       183.95        37.95       221.90
1967     105-109         2.00         2.00         4.00
1967     110+            1.00         0.00         1.00
1968       0        925447.74    971440.53   1896888.27
1968       1-4     3118051.18   3268193.86   6386245.04
1968       5-9     3823150.74   3977086.61   7800237.35
1968      10-14    4023195.93   4161557.57   8184753.50
1968      15-19    5336793.82   5414887.27  10751681.09
1968      20-24    4566057.94   4537204.63   9103262.57
1968      25-29    4378523.73   4322935.16   8701458.89
1968      30-34    4191776.25   4198995.40   8390771.65
1968      35-39    3887991.41   3929933.00   7817924.41
1968      40-44    3461823.67   3226537.56   6688361.23
1968      45-49    2872269.65   2270273.87   5142543.52
1968      50-54    2523128.40   2145851.72   4668980.12
1968      55-59    2255220.68   1996408.19   4251628.87
1968      60-64    1768937.45   1641785.79   3410723.24
1968      65-69    1476292.91   1324940.94   2801233.85
1968      70-74    1046258.59    864979.96   1911238.55
1968      75-79     681864.73    486017.49   1167882.22
1968      80-84     360154.24    203786.80    563941.04
1968      85-89     144644.12     63547.02    208191.14
1968      90-94      34257.28     12026.18     46283.46
1968      95-99       3533.16      1138.29      4671.45
1968     100-104       184.90        54.92       239.82
1968     105-109         2.98         0.00         2.98
1968     110+            1.00         0.00         1.00
1969       0        893054.70    950268.53   1843323.23
1969       1-4     3252545.12   3412618.60   6665163.72
1969       5-9     3846859.62   4009525.35   7856384.97
1969      10-14    3918509.83   4061477.50   7979987.33
1969      15-19    5004440.08   5073083.34  10077523.42
1969      20-24    4828626.57   4807812.89   9636439.46
1969      25-29    4499436.67   4445854.89   8945291.56
1969      30-34    4177344.82   4174493.76   8351838.58
1969      35-39    3960890.30   4001987.56   7962877.86
1969      40-44    3543991.42   3423858.16   6967849.58
1969      45-49    3001611.85   2376390.37   5378002.22
1969      50-54    2527695.37   2120678.70   4648374.07
1969      55-59    2313300.01   2015795.27   4329095.28
1969      60-64    1822607.72   1669442.31   3492050.03
1969      65-69    1525486.59   1361363.40   2886849.99
1969      70-74    1091848.01    901700.35   1993548.36
1969      75-79     697730.73    499035.76   1196766.49
1969      80-84     375552.58    217037.72    592590.30
1969      85-89     150459.64     66180.22    216639.86
1969      90-94      36085.65     12484.97     48570.62
1969      95-99       4074.46      1220.99      5295.45
1969     100-104       232.68        65.88       298.56
1969     105-109         3.98         1.99         5.97
1969     110+            1.00         0.00         1.00
1970       0        903856.87    960182.24   1864039.11
1970       1-4     3324686.06   3495623.10   6820309.16
1970       5-9     3888920.57   4061395.91   7950316.48
1970      10-14    3867404.49   4016114.95   7883519.44
1970      15-19    4656668.73   4727556.20   9384224.93
1970      20-24    5087830.63   5063389.99  10151220.62
1970      25-29    4617819.62   4561335.06   9179154.68
1970      30-34    4146225.83   4138611.98   8284837.81
1970      35-39    4017278.40   4055863.76   8073142.16
1970      40-44    3617577.55   3567175.97   7184753.52
1970      45-49    3129431.46   2539911.18   5669342.64
1970      50-54    2548550.50   2102548.40   4651098.90
1970      55-59    2355342.93   2029365.39   4384708.32
1970      60-64    1906114.80   1713350.17   3619464.97
1970      65-69    1561504.41   1384939.80   2946444.21
1970      70-74    1130054.08    931070.55   2061124.63
1970      75-79     716562.41    515480.29   1232042.70
1970      80-84     397242.96    232616.93    629859.89
1970      85-89     154510.63     68491.94    223002.57
1970      90-94      38378.70     13196.09     51574.79
1970      95-99       4553.33      1351.92      5905.25
1970     100-104       251.35        76.71       328.06
1970     105-109         9.97         1.99        11.96
1970     110+            1.00         0.00         1.00
1971       0        911066.37    963519.31   1874585.68
1971       1-4     3410070.80   3583377.47   6993448.27
1971       5-9     3944125.88   4125329.81   8069455.69
1971      10-14    3816781.94   3969212.82   7785994.76
1971      15-19    4405315.23   4489308.14   8894623.37
1971      20-24    5383408.49   5353751.12  10737159.61
1971      25-29    4492176.15   4438997.72   8931173.87
1971      30-34    4188125.41   4176117.81   8364243.22
1971      35-39    4083531.87   4117396.30   8200928.17
1971      40-44    3677717.79   3673201.76   7350919.55
1971      45-49    3213290.23   2714949.78   5928240.01
